,id,timestamp,from_loc,to_loc,request_type
0,r_loc_8_loc_12_green1667868165.015274,2022-11-07 16:42:45.015274,loc_8,loc_12,green
1,r_loc_0_loc_9_comfort1667868166.015274,2022-11-07 16:42:46.015274,loc_0,loc_9,comfort
2,r_loc_0_loc_10_x1667868167.015274,2022-11-07 16:42:47.015274,loc_0,loc_10,x
3,r_loc_16_loc_17_green1667868168.015274,2022-11-07 16:42:48.015274,loc_16,loc_17,green
4,r_loc_1_loc_11_x1667868169.015274,2022-11-07 16:42:49.015274,loc_1,loc_11,x
5,r_loc_9_loc_12_xl1667868170.015274,2022-11-07 16:42:50.015274,loc_9,loc_12,xl
6,r_loc_19_loc_5_comfort1667868171.015274,2022-11-07 16:42:51.015274,loc_19,loc_5,comfort
7,r_loc_11_loc_0_x1667868172.015274,2022-11-07 16:42:52.015274,loc_11,loc_0,x
8,r_loc_17_loc_2_comfort1667868173.015274,2022-11-07 16:42:53.015274,loc_17,loc_2,comfort
9,r_loc_5_loc_8_xl1667868174.015274,2022-11-07 16:42:54.015274,loc_5,loc_8,xl
10,r_loc_15_loc_17_xl1667868175.015274,2022-11-07 16:42:55.015274,loc_15,loc_17,xl
11,r_loc_17_loc_9_comfort1667868176.015274,2022-11-07 16:42:56.015274,loc_17,loc_9,comfort
12,r_loc_5_loc_6_x1667868177.015274,2022-11-07 16:42:57.015274,loc_5,loc_6,x
13,r_loc_19_loc_4_xl1667868178.015274,2022-11-07 16:42:58.015274,loc_19,loc_4,xl
14,r_loc_18_loc_8_x1667868179.015274,2022-11-07 16:42:59.015274,loc_18,loc_8,x
15,r_loc_9_loc_13_comfort1667868180.015274,2022-11-07 16:43:00.015274,loc_9,loc_13,comfort
16,r_loc_0_loc_16_green1667868181.015274,2022-11-07 16:43:01.015274,loc_0,loc_16,green
17,r_loc_3_loc_17_comfort1667868182.015274,2022-11-07 16:43:02.015274,loc_3,loc_17,comfort
18,r_loc_0_loc_4_x1667868183.015274,2022-11-07 16:43:03.015274,loc_0,loc_4,x
19,r_loc_9_loc_7_green1667868184.015274,2022-11-07 16:43:04.015274,loc_9,loc_7,green
20,r_loc_10_loc_8_x1667868185.015274,2022-11-07 16:43:05.015274,loc_10,loc_8,x
21,r_loc_12_loc_18_comfort1667868186.015274,2022-11-07 16:43:06.015274,loc_12,loc_18,comfort
22,r_loc_0_loc_4_comfort1667868187.015274,2022-11-07 16:43:07.015274,loc_0,loc_4,comfort
23,r_loc_5_loc_9_x1667868188.015274,2022-11-07 16:43:08.015274,loc_5,loc_9,x
24,r_loc_10_loc_18_xl1667868189.015274,2022-11-07 16:43:09.015274,loc_10,loc_18,xl
25,r_loc_0_loc_19_green1667868190.015274,2022-11-07 16:43:10.015274,loc_0,loc_19,green
26,r_loc_2_loc_4_green1667868191.015274,2022-11-07 16:43:11.015274,loc_2,loc_4,green
27,r_loc_14_loc_4_x1667868192.015274,2022-11-07 16:43:12.015274,loc_14,loc_4,x
28,r_loc_11_loc_4_x1667868193.015274,2022-11-07 16:43:13.015274,loc_11,loc_4,x
29,r_loc_7_loc_6_x1667868194.015274,2022-11-07 16:43:14.015274,loc_7,loc_6,x
30,r_loc_8_loc_7_x1667868195.015274,2022-11-07 16:43:15.015274,loc_8,loc_7,x
31,r_loc_15_loc_9_xl1667868196.015274,2022-11-07 16:43:16.015274,loc_15,loc_9,xl
32,r_loc_8_loc_18_x1667868197.015274,2022-11-07 16:43:17.015274,loc_8,loc_18,x
33,r_loc_13_loc_13_comfort1667868198.015274,2022-11-07 16:43:18.015274,loc_13,loc_13,comfort
34,r_loc_19_loc_4_green1667868199.015274,2022-11-07 16:43:19.015274,loc_19,loc_4,green
35,r_loc_13_loc_5_xl1667868200.015274,2022-11-07 16:43:20.015274,loc_13,loc_5,xl
36,r_loc_6_loc_6_x1667868201.015274,2022-11-07 16:43:21.015274,loc_6,loc_6,x
37,r_loc_14_loc_17_comfort1667868202.015274,2022-11-07 16:43:22.015274,loc_14,loc_17,comfort
38,r_loc_8_loc_9_comfort1667868203.020304,2022-11-07 16:43:23.020304,loc_8,loc_9,comfort
39,r_loc_11_loc_7_xl1667868204.020304,2022-11-07 16:43:24.020304,loc_11,loc_7,xl
40,r_loc_11_loc_1_xl1667868205.020304,2022-11-07 16:43:25.020304,loc_11,loc_1,xl
41,r_loc_15_loc_2_x1667868206.020304,2022-11-07 16:43:26.020304,loc_15,loc_2,x
42,r_loc_14_loc_14_xl1667868207.020304,2022-11-07 16:43:27.020304,loc_14,loc_14,xl
43,r_loc_16_loc_4_comfort1667868208.020304,2022-11-07 16:43:28.020304,loc_16,loc_4,comfort
44,r_loc_16_loc_0_x1667868209.020304,2022-11-07 16:43:29.020304,loc_16,loc_0,x
45,r_loc_6_loc_9_green1667868210.020304,2022-11-07 16:43:30.020304,loc_6,loc_9,green
46,r_loc_18_loc_6_comfort1667868211.020304,2022-11-07 16:43:31.020304,loc_18,loc_6,comfort
47,r_loc_17_loc_19_comfort1667868212.020304,2022-11-07 16:43:32.020304,loc_17,loc_19,comfort
48,r_loc_12_loc_18_comfort1667868213.020304,2022-11-07 16:43:33.020304,loc_12,loc_18,comfort
49,r_loc_16_loc_15_xl1667868214.020304,2022-11-07 16:43:34.020304,loc_16,loc_15,xl
50,r_loc_14_loc_4_x1667868215.020304,2022-11-07 16:43:35.020304,loc_14,loc_4,x
51,r_loc_7_loc_6_green1667868216.020304,2022-11-07 16:43:36.020304,loc_7,loc_6,green
