,id,starttime,endtime,location,car_type,car_id
0,c_loc_12_comfort_1667868165.210341,2022-11-07 16:42:45.210341,2022-11-12 16:42:45.210341,loc_12,comfort,c_817
1,c_loc_15_green_1667868166.210341,2022-11-07 16:42:46.210341,2022-11-12 16:42:46.210341,loc_15,green,c_898
2,c_loc_4_xl_1667868167.210341,2022-11-07 16:42:47.210341,2022-11-12 16:42:47.210341,loc_4,xl,c_541
3,c_loc_7_comfort_1667868168.210341,2022-11-07 16:42:48.210341,2022-11-12 16:42:48.210341,loc_7,comfort,c_356
4,c_loc_19_comfort_1667868169.210341,2022-11-07 16:42:49.210341,2022-11-12 16:42:49.210341,loc_19,comfort,c_965
5,c_loc_3_xl_1667868170.210341,2022-11-07 16:42:50.210341,2022-11-12 16:42:50.210341,loc_3,xl,c_806
6,c_loc_19_x_1667868171.210341,2022-11-07 16:42:51.210341,2022-11-12 16:42:51.210341,loc_19,x,c_326
7,c_loc_16_x_1667868172.210341,2022-11-07 16:42:52.210341,2022-11-12 16:42:52.210341,loc_16,x,c_926
8,c_loc_8_green_1667868173.210341,2022-11-07 16:42:53.210341,2022-11-12 16:42:53.210341,loc_8,green,c_259
9,c_loc_9_green_1667868174.210341,2022-11-07 16:42:54.210341,2022-11-12 16:42:54.210341,loc_9,green,c_322
10,c_loc_0_green_1667868175.210341,2022-11-07 16:42:55.210341,2022-11-12 16:42:55.210341,loc_0,green,c_332
11,c_loc_6_comfort_1667868176.210341,2022-11-07 16:42:56.210341,2022-11-12 16:42:56.210341,loc_6,comfort,c_580
12,c_loc_10_x_1667868177.210341,2022-11-07 16:42:57.210341,2022-11-12 16:42:57.210341,loc_10,x,c_813
13,c_loc_5_comfort_1667868178.210341,2022-11-07 16:42:58.210341,2022-11-12 16:42:58.210341,loc_5,comfort,c_570
14,c_loc_14_comfort_1667868179.210341,2022-11-07 16:42:59.210341,2022-11-12 16:42:59.210341,loc_14,comfort,c_974
15,c_loc_0_xl_1667868180.210341,2022-11-07 16:43:00.210341,2022-11-12 16:43:00.210341,loc_0,xl,c_270
16,c_loc_10_comfort_1667868181.210341,2022-11-07 16:43:01.210341,2022-11-12 16:43:01.210341,loc_10,comfort,c_976
17,c_loc_14_xl_1667868182.210341,2022-11-07 16:43:02.210341,2022-11-12 16:43:02.210341,loc_14,xl,c_699
18,c_loc_10_green_1667868183.210341,2022-11-07 16:43:03.210341,2022-11-12 16:43:03.210341,loc_10,green,c_599
19,c_loc_5_x_1667868184.210341,2022-11-07 16:43:04.210341,2022-11-12 16:43:04.210341,loc_5,x,c_816
20,c_loc_11_xl_1667868185.210341,2022-11-07 16:43:05.210341,2022-11-12 16:43:05.210341,loc_11,xl,c_719
21,c_loc_3_xl_1667868186.210341,2022-11-07 16:43:06.210341,2022-11-12 16:43:06.210341,loc_3,xl,c_775
22,c_loc_4_x_1667868187.210341,2022-11-07 16:43:07.210341,2022-11-12 16:43:07.210341,loc_4,x,c_903
23,c_loc_2_green_1667868188.210341,2022-11-07 16:43:08.210341,2022-11-12 16:43:08.210341,loc_2,green,c_449
24,c_loc_1_x_1667868189.210341,2022-11-07 16:43:09.210341,2022-11-12 16:43:09.210341,loc_1,x,c_744
25,c_loc_1_xl_1667868190.210341,2022-11-07 16:43:10.210341,2022-11-12 16:43:10.210341,loc_1,xl,c_853
26,c_loc_4_x_1667868191.210341,2022-11-07 16:43:11.210341,2022-11-12 16:43:11.210341,loc_4,x,c_402
27,c_loc_16_xl_1667868192.210341,2022-11-07 16:43:12.210341,2022-11-12 16:43:12.210341,loc_16,xl,c_764
28,c_loc_12_x_1667868193.210341,2022-11-07 16:43:13.210341,2022-11-12 16:43:13.210341,loc_12,x,c_246
29,c_loc_11_green_1667868194.210341,2022-11-07 16:43:14.210341,2022-11-12 16:43:14.210341,loc_11,green,c_317
30,c_loc_7_x_1667868195.210341,2022-11-07 16:43:15.210341,2022-11-12 16:43:15.210341,loc_7,x,c_236
31,c_loc_13_x_1667868196.210341,2022-11-07 16:43:16.210341,2022-11-12 16:43:16.210341,loc_13,x,c_651
32,c_loc_11_xl_1667868197.210341,2022-11-07 16:43:17.210341,2022-11-12 16:43:17.210341,loc_11,xl,c_24
33,c_loc_10_green_1667868198.210341,2022-11-07 16:43:18.210341,2022-11-12 16:43:18.210341,loc_10,green,c_59
34,c_loc_8_x_1667868199.210341,2022-11-07 16:43:19.210341,2022-11-12 16:43:19.210341,loc_8,x,c_795
35,c_loc_18_comfort_1667868200.210341,2022-11-07 16:43:20.210341,2022-11-12 16:43:20.210341,loc_18,comfort,c_833
36,c_loc_19_green_1667868201.210341,2022-11-07 16:43:21.210341,2022-11-12 16:43:21.210341,loc_19,green,c_405
37,c_loc_10_comfort_1667868202.210341,2022-11-07 16:43:22.210341,2022-11-12 16:43:22.210341,loc_10,comfort,c_172
38,c_loc_13_green_1667868203.210341,2022-11-07 16:43:23.210341,2022-11-12 16:43:23.210341,loc_13,green,c_722
39,c_loc_18_x_1667868204.210341,2022-11-07 16:43:24.210341,2022-11-12 16:43:24.210341,loc_18,x,c_667
40,c_loc_12_x_1667868205.210341,2022-11-07 16:43:25.210341,2022-11-12 16:43:25.210341,loc_12,x,c_435
41,c_loc_17_green_1667868206.210341,2022-11-07 16:43:26.210341,2022-11-12 16:43:26.210341,loc_17,green,c_317
42,c_loc_8_green_1667868207.210341,2022-11-07 16:43:27.210341,2022-11-12 16:43:27.210341,loc_8,green,c_349
43,c_loc_3_green_1667868208.210341,2022-11-07 16:43:28.210341,2022-11-12 16:43:28.210341,loc_3,green,c_512
44,c_loc_11_xl_1667868209.210341,2022-11-07 16:43:29.210341,2022-11-12 16:43:29.210341,loc_11,xl,c_230
45,c_loc_18_green_1667868210.210341,2022-11-07 16:43:30.210341,2022-11-12 16:43:30.210341,loc_18,green,c_641
46,c_loc_5_green_1667868211.210341,2022-11-07 16:43:31.210341,2022-11-12 16:43:31.210341,loc_5,green,c_344
47,c_loc_17_comfort_1667868212.210341,2022-11-07 16:43:32.210341,2022-11-12 16:43:32.210341,loc_17,comfort,c_230
48,c_loc_12_comfort_1667868213.210341,2022-11-07 16:43:33.210341,2022-11-12 16:43:33.210341,loc_12,comfort,c_715
49,c_loc_12_xl_1667868214.210341,2022-11-07 16:43:34.210341,2022-11-12 16:43:34.210341,loc_12,xl,c_439
50,c_loc_15_x_1667868215.210341,2022-11-07 16:43:35.210341,2022-11-12 16:43:35.210341,loc_15,x,c_960
51,c_loc_10_xl_1667868216.210341,2022-11-07 16:43:36.210341,2022-11-12 16:43:36.210341,loc_10,xl,c_399
52,c_loc_9_xl_1667868217.210341,2022-11-07 16:43:37.210341,2022-11-12 16:43:37.210341,loc_9,xl,c_110
